Time,El_grid,PV_feed,PV_self,E_hp,H_hp,E_boiler,H_boiler
370,14.829813,0.0,1.1620229,9.9318356,29.795507,0.0,0.0
371,12.846876,0.0,2.3097936,9.0766695,27.230009,0.0,0.0
372,10.620668,0.0,2.7055274,8.6161954,25.848586,0.0,0.0
373,12.736622,0.0,3.5045963,7.2512188,21.753656,0.0,0.0
374,10.576641,0.0,1.734483,5.7711236,17.313371,0.0,0.0
375,9.5220471,0.0,1.5150004,4.5870474,13.761142,0.0,0.0
376,8.3529446,0.0,1.2389843,4.4719289,13.415787,0.0,0.0
377,8.888581,0.0,0.36912991,4.5377109,13.613133,0.0,0.0
378,8.9906019,0.0,0.0,4.5706019,13.711806,0.0,0.0
379,9.9399384,0.0,0.0,4.6199384,13.859815,0.0,0.0
380,10.753066,0.0,0.0,4.8830664,14.649199,0.0,0.0
381,10.183778,0.0,0.0,5.5737775,16.721333,0.0,0.0
382,9.7604601,0.0,0.0,5.8204601,17.46138,0.0,0.0
383,8.4217395,0.0,0.0,4.9817395,14.945219,0.0,0.0
384,7.0257204,0.0,0.0,4.6857204,14.057161,0.0,0.0
385,6.2986114,0.0,0.0,4.7186114,14.155834,0.0,0.0
386,5.895294,0.0,0.0,4.965294,14.895882,0.0,0.0
387,6.0819765,0.0,0.0,5.2119765,15.63593,0.0,0.0
388,6.2819765,0.0,0.0,5.2119765,15.63593,0.0,0.0
389,6.24264,0.0,0.0,5.16264,15.48792,0.0,0.0
390,6.025294,0.0,0.0,4.965294,14.895882,0.0,0.0
